track_name,model_name,uncertainty_bin,n,mean_uncertainty,mean_abs_error
Random_Promoter_DREAM_base_track_13,T05_uncertainty_ensemble_proxy,"(1600.6, 2400.4]",800,0.123589065386523,0.3971394309247998
Random_Promoter_DREAM_base_track_13,T05_uncertainty_ensemble_proxy,"(2400.4, 3200.2]",800,0.1542416294310946,0.4240047429717772
Random_Promoter_DREAM_base_track_13,T05_uncertainty_ensemble_proxy,"(3200.2, 4000.0]",800,0.2651338284617591,0.4478696135207549
Random_Promoter_DREAM_base_track_14,T05_uncertainty_ensemble_proxy,"(0.999, 4000.8]",4000,0.1467083460328628,1.6313549823249698
Random_Promoter_DREAM_base_track_14,T05_uncertainty_ensemble_proxy,"(4000.8, 8000.6]",4000,0.1944300013801775,1.5894445603049745
Random_Promoter_DREAM_base_track_14,T05_uncertainty_ensemble_proxy,"(8000.6, 12000.4]",4000,0.2307244604163144,1.5513961363242188
Random_Promoter_DREAM_base_track_14,T05_uncertainty_ensemble_proxy,"(12000.4, 16000.2]",4000,0.2745087105023246,1.5363805795994927
Random_Promoter_DREAM_base_track_14,T05_uncertainty_ensemble_proxy,"(16000.2, 20000.0]",4000,0.3916128286075359,1.5251135113314596
Random_Promoter_DREAM_base_track_15,T05_uncertainty_ensemble_proxy,"(0.999, 4000.8]",4000,0.1455872689988161,1.6304839949291463
Random_Promoter_DREAM_base_track_15,T05_uncertainty_ensemble_proxy,"(4000.8, 8000.6]",4000,0.1922876392021069,1.5738789363222003
Random_Promoter_DREAM_base_track_15,T05_uncertainty_ensemble_proxy,"(8000.6, 12000.4]",4000,0.2275294175500601,1.5371755249736707
Random_Promoter_DREAM_base_track_15,T05_uncertainty_ensemble_proxy,"(12000.4, 16000.2]",4000,0.2708198965372079,1.5554813264624443
Random_Promoter_DREAM_base_track_15,T05_uncertainty_ensemble_proxy,"(16000.2, 20000.0]",4000,0.3843028146907571,1.5141833870282708
Random_Promoter_DREAM_base_track_16,T05_uncertainty_ensemble_proxy,"(0.999, 5971.2]",5971,0.1195974473556486,1.6047444301420042
Random_Promoter_DREAM_base_track_16,T05_uncertainty_ensemble_proxy,"(5971.2, 11941.4]",5970,0.157559073023808,1.5810382572884587
Random_Promoter_DREAM_base_track_16,T05_uncertainty_ensemble_proxy,"(11941.4, 17911.6]",5970,0.1865444774836512,1.5717580516764371
Random_Promoter_DREAM_base_track_16,T05_uncertainty_ensemble_proxy,"(17911.6, 23881.8]",5970,0.2207624505364771,1.535958271568224
Random_Promoter_DREAM_base_track_16,T05_uncertainty_ensemble_proxy,"(23881.8, 29852.0]",5971,0.3111362790773895,1.5190830724128763
Random_Promoter_DREAM_base_track_17,T05_uncertainty_ensemble_proxy,"(0.999, 800.8]",800,0.3536894155019348,1.614811272860297
Random_Promoter_DREAM_base_track_17,T05_uncertainty_ensemble_proxy,"(800.8, 1600.6]",800,0.463291328496953,1.671406074210796
Random_Promoter_DREAM_base_track_17,T05_uncertainty_ensemble_proxy,"(1600.6, 2400.4]",800,0.5501691978085759,1.7149707748807097
Random_Promoter_DREAM_base_track_17,T05_uncertainty_ensemble_proxy,"(2400.4, 3200.2]",800,0.661634495277084,1.6915361074689894
Random_Promoter_DREAM_base_track_17,T05_uncertainty_ensemble_proxy,"(3200.2, 4000.0]",800,0.9948280852490088,1.7518488227121924
Random_Promoter_DREAM_base_track_18,T05_uncertainty_ensemble_proxy,"(0.999, 800.8]",800,0.066332432214939,0.226578722072433
Random_Promoter_DREAM_base_track_18,T05_uncertainty_ensemble_proxy,"(800.8, 1600.6]",800,0.0978899622980656,0.3168131935933186
Random_Promoter_DREAM_base_track_18,T05_uncertainty_ensemble_proxy,"(1600.6, 2400.4]",800,0.123589065386523,0.3971394309247998
Random_Promoter_DREAM_base_track_18,T05_uncertainty_ensemble_proxy,"(2400.4, 3200.2]",800,0.1542416294310946,0.4240047429717772
Random_Promoter_DREAM_base_track_18,T05_uncertainty_ensemble_proxy,"(3200.2, 4000.0]",800,0.2651338284617591,0.4478696135207549
Random_Promoter_DREAM_base_track_19,T05_uncertainty_ensemble_proxy,"(0.999, 4000.8]",4000,0.1467083460328628,1.6313549823249698
Random_Promoter_DREAM_base_track_19,T05_uncertainty_ensemble_proxy,"(4000.8, 8000.6]",4000,0.1944300013801775,1.5894445603049745
Random_Promoter_DREAM_base_track_19,T05_uncertainty_ensemble_proxy,"(8000.6, 12000.4]",4000,0.2307244604163144,1.5513961363242188
Random_Promoter_DREAM_base_track_19,T05_uncertainty_ensemble_proxy,"(12000.4, 16000.2]",4000,0.2745087105023246,1.5363805795994927
Random_Promoter_DREAM_base_track_19,T05_uncertainty_ensemble_proxy,"(16000.2, 20000.0]",4000,0.3916128286075359,1.5251135113314596
Random_Promoter_DREAM_base_track_2,T05_uncertainty_ensemble_proxy,"(0.999, 2845.0]",2845,0.034016146652907,0.2221200301343326
Random_Promoter_DREAM_base_track_2,T05_uncertainty_ensemble_proxy,"(2845.0, 5689.0]",2844,0.049917376898794,0.2977211212344496
Random_Promoter_DREAM_base_track_2,T05_uncertainty_ensemble_proxy,"(5689.0, 8533.0]",2844,0.0624357020684446,0.3588124804765029
Random_Promoter_DREAM_base_track_2,T05_uncertainty_ensemble_proxy,"(8533.0, 11377.0]",2844,0.076799697471362,0.3937562562677117
Random_Promoter_DREAM_base_track_2,T05_uncertainty_ensemble_proxy,"(11377.0, 14221.0]",2844,0.1175667695224731,0.4141549807238039
Random_Promoter_DREAM_base_track_20,T05_uncertainty_ensemble_proxy,"(0.999, 800.8]",800,0.3536894155019348,1.614811272860297
Random_Promoter_DREAM_base_track_20,T05_uncertainty_ensemble_proxy,"(800.8, 1600.6]",800,0.463291328496953,1.671406074210796
Random_Promoter_DREAM_base_track_20,T05_uncertainty_ensemble_proxy,"(1600.6, 2400.4]",800,0.5501691978085759,1.7149707748807097
Random_Promoter_DREAM_base_track_20,T05_uncertainty_ensemble_proxy,"(2400.4, 3200.2]",800,0.661634495277084,1.6915361074689894
Random_Promoter_DREAM_base_track_20,T05_uncertainty_ensemble_proxy,"(3200.2, 4000.0]",800,0.9948280852490088,1.7518488227121924
Random_Promoter_DREAM_base_track_3,T05_uncertainty_ensemble_proxy,"(0.999, 6000.8]",6000,0.1191524671801239,1.5863985114358274
