track_name,analysis_level,model_id,r2,rmse,mae,n_test,source_table,claim_level,source_role,interpretation_note,display_level
GSE221384_context_track,03_grammar_ladder_candidate,M03_GC_length_multi_char6,0.1784044300747667,1.6436606106730005,1.3592621217167762,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,03_grammar_ladder_best
GSE221384_context_track,03_grammar_ladder_candidate,M04_GC_length_windowed_char6,0.1315331881132105,1.6898949829453342,1.4061959654039715,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,03_grammar_ladder_best
GSE221384_context_track,03_grammar_ladder_candidate,M05_GC_length_windowed_multi_char6,0.1350909471654263,1.6864300208038514,1.4027348218020594,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,03_grammar_ladder_best
GSE221384_context_track,03_grammar_ladder_candidate,M06_GC_length_condition_gated_char6,0.0496529964904562,1.7677636854512917,1.4938760724669855,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,03_grammar_ladder_best
GSE221384_context_track,03_grammar_ladder_candidate,M07_GC_length_condition_gated_multi_char6,0.1246689039546906,1.696560228041183,1.4361239829113113,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,03_grammar_ladder_best
GSE221384_context_track,03_grammar_ladder_candidate,M08_dynamic_condition_weighted_char6,0.0328994368094371,1.7832774643846268,1.5194138467321363,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,03_grammar_ladder_best
GSE221384_context_track,03_grammar_ladder_candidate,M09_dynamic_condition_weighted_multi_char6,0.1204306696801675,1.7006625254395549,1.4221405693183042,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,03_grammar_ladder_best
GSE221384_context_track,04_grammar_plus_P01_P05_candidate,T01_mutational_prior_proxy,-0.0933117494483211,1.8960732487788965,1.6290223996260929,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,04_grammar_plus_P01_P05_best
GSE221384_context_track,04_grammar_plus_P01_P05_candidate,T02_selection_potential_proxy,0.1293159713530498,1.6920507792391335,1.4069304320211296,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,04_grammar_plus_P01_P05_best
GSE221384_context_track,04_grammar_plus_P01_P05_candidate,T03_latent_state_operator_proxy,-0.0697774467273533,1.875555077389216,1.6057544864156772,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,04_grammar_plus_P01_P05_best
GSE221384_context_track,04_grammar_plus_P01_P05_candidate,T04_observable_alignment_proxy,0.2117140378824361,1.609996750848716,1.326798064371269,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,04_grammar_plus_P01_P05_best
GSE221384_context_track,04_grammar_plus_P01_P05_candidate,T05_uncertainty_ensemble_proxy,0.2084672223661844,1.613308994809454,1.329256668135541,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,04_grammar_plus_P01_P05_best
Random_Promoter_DREAM_base_track_2,01_GC_length_only,M01_GC_length,0.0690145919100142,0.7247006162099205,0.6030073773102583,14221.0,ALL_TRACKS_metrics_summary.csv,headline_base_reference,base-track structured reference,,01_GC_length_only
